epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.481,0.13128,4.64749,0.91131,0.00215,0.21689,0.00435,0.00434,0.12911,4.12829,0.36793,0.0802728,0.000199265,0.000199265
2,615.673,0.09918,4.03674,0.87726,0.75966,0.04479,0.04607,0.04605,0.21022,3.5165,0.37559,0.0604688,0.000395312,0.000395312
3,903.11,0.10237,3.26713,0.88057,0.33272,0.23392,0.12912,0.12905,0.16219,3.16482,0.34684,0.0406609,0.000587399,0.000587399
4,1449.36,0.10856,2.53799,0.87682,0.08383,0.40843,0.15841,0.15742,0.18915,5.48423,0.36407,0.0208491,0.000775527,0.000775527
5,1949.74,0.10273,1.95735,0.8758,0.37463,0.34589,0.28026,0.28016,0.16625,29.7853,0.3462,0.00103322,0.000959694,0.000959694
6,2050.44,0.10075,1.51946,0.87259,0.5971,0.61486,0.6893,0.68876,0.14176,1.4709,0.33718,0.0009505,0.0009505,0.0009505
7,2195,0.0953,1.16623,0.87173,0.67026,0.65113,0.75182,0.75129,0.15024,1.33306,0.3395,0.0009406,0.0009406,0.0009406
8,2278.35,0.08987,0.95141,0.87325,0.73038,0.71459,0.82731,0.82702,0.1262,1.05665,0.33119,0.0009307,0.0009307,0.0009307
9,2351.97,0.08566,0.80453,0.86903,0.70987,0.65306,0.75722,0.75652,0.1424,1.21986,0.34373,0.0009208,0.0009208,0.0009208
10,2422.53,0.08207,0.72232,0.87096,0.50451,0.32019,0.36048,0.36039,0.15422,3.31707,0.34051,0.0009109,0.0009109,0.0009109
11,2487.55,0.07939,0.62075,0.87037,0.8323,0.83543,0.9143,0.9136,0.11653,0.6641,0.32647,0.000901,0.000901,0.000901
12,2556.95,0.07468,0.55696,0.87006,0.05728,0.31309,0.10887,0.10874,0.16235,5.329,0.34369,0.0008911,0.0008911,0.0008911
13,2617,0.07153,0.52231,0.87097,0.86111,0.83559,0.92704,0.92664,0.1025,0.61636,0.32163,0.0008812,0.0008812,0.0008812
14,2676.85,0.06918,0.45431,0.86905,0.8597,0.85535,0.93087,0.92989,0.13027,0.60064,0.33188,0.0008713,0.0008713,0.0008713
15,2733.44,0.06631,0.42214,0.86626,0.88122,0.86937,0.9448,0.94413,0.11645,0.5172,0.32735,0.0008614,0.0008614,0.0008614
