epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,2787.95,0.06608,0.3857,0.86692,0.88934,0.8695,0.94486,0.94459,0.11449,0.51554,0.32863,0.0008515,0.0008515,0.0008515
17,2843.02,0.06639,0.36421,0.8671,0.90357,0.87514,0.94984,0.94979,0.10552,0.47748,0.32212,0.0008416,0.0008416,0.0008416
18,2897.08,0.06104,0.33585,0.86793,0.90178,0.88834,0.951,0.95079,0.10542,0.46229,0.32302,0.0008317,0.0008317,0.0008317
19,2950.12,0.06344,0.32606,0.86713,0.921,0.88362,0.95352,0.95332,0.08813,0.44534,0.31531,0.0008218,0.0008218,0.0008218
20,3014.08,0.05986,0.30756,0.8681,0.59942,0.50188,0.59077,0.59052,0.09688,2.06785,0.31717,0.0008119,0.0008119,0.0008119
21,3064.54,0.05891,0.29161,0.86696,0.92878,0.88691,0.9559,0.95542,0.11265,0.45067,0.32985,0.000802,0.000802,0.000802
22,3116.91,0.05906,0.28151,0.86478,0.90479,0.85564,0.94119,0.94106,0.09151,0.48081,0.31824,0.0007921,0.0007921,0.0007921
23,3167.1,0.05603,0.25133,0.86668,0.92409,0.90185,0.96057,0.96023,0.10425,0.41015,0.32352,0.0007822,0.0007822,0.0007822
24,3214.11,0.05481,0.2427,0.86641,0.94248,0.90405,0.9642,0.9638,0.09973,0.38595,0.32307,0.0007723,0.0007723,0.0007723
25,3262.26,0.05286,0.23293,0.86862,0.93168,0.92025,0.96604,0.96579,0.09567,0.38571,0.32226,0.0007624,0.0007624,0.0007624
26,3308.55,0.05227,0.23352,0.86651,0.9361,0.90715,0.96508,0.96474,0.10029,0.38771,0.32128,0.0007525,0.0007525,0.0007525
27,3356.34,0.05178,0.21893,0.86566,0.93694,0.91223,0.96492,0.96441,0.0932,0.39808,0.32046,0.0007426,0.0007426,0.0007426
28,3403.08,0.05034,0.20679,0.86576,0.93841,0.91663,0.96829,0.9682,0.08967,0.35072,0.3183,0.0007327,0.0007327,0.0007327
29,3449.12,0.04934,0.19964,0.86761,0.94392,0.91603,0.96821,0.96787,0.08407,0.3438,0.31566,0.0007228,0.0007228,0.0007228
30,3494.91,0.04771,0.19339,0.86553,0.93371,0.92456,0.96768,0.96705,0.0863,0.35607,0.31727,0.0007129,0.0007129,0.0007129
31,3540.96,inf,0.18695,0.86698,0.94594,0.92234,0.9691,0.96892,0.09158,0.35073,0.31867,0.000703,0.000703,0.000703
32,3586.77,0.04713,0.18338,0.8656,0.95044,0.92045,0.97162,0.97092,0.08694,0.34442,0.31805,0.0006931,0.0006931,0.0006931
33,3632.21,0.0463,0.18226,0.86494,0.95192,0.91988,0.97029,0.96996,0.08615,0.3496,0.31796,0.0006832,0.0006832,0.0006832
34,3678.38,0.04653,0.16782,0.86483,0.95103,0.92474,0.97072,0.97049,0.09195,0.35707,0.32144,0.0006733,0.0006733,0.0006733
35,3723.77,inf,0.16231,0.8653,0.94938,0.92415,0.97089,0.9703,0.08401,0.32418,0.31581,0.0006634,0.0006634,0.0006634
36,3768.21,inf,0.16466,0.8647,0.94967,0.92516,0.97157,0.9707,0.08026,0.31831,0.31491,0.0006535,0.0006535,0.0006535
37,3812.96,0.04339,0.15955,0.86619,0.9529,0.92099,0.97124,0.97053,0.07612,0.32228,0.31215,0.0006436,0.0006436,0.0006436
38,3857.1,0.0446,0.15562,0.86438,0.95464,0.92392,0.97196,0.9716,0.07859,0.32911,0.3137,0.0006337,0.0006337,0.0006337
39,3900,inf,0.15809,0.8648,0.95085,0.93189,0.97175,0.97152,0.08913,0.34508,0.31903,0.0006238,0.0006238,0.0006238
40,3944.67,0.04298,0.14819,0.86505,0.95083,0.93163,0.97115,0.97103,0.08994,0.34818,0.31974,0.0006139,0.0006139,0.0006139
41,3989.68,0.04253,0.14152,0.86539,0.95423,0.93124,0.97176,0.97166,0.09032,0.35541,0.32114,0.000604,0.000604,0.000604
42,4035.3,inf,0.13447,0.86376,0.95388,0.932,0.97212,0.97206,0.09327,0.35442,0.32228,0.0005941,0.0005941,0.0005941
43,4078.37,inf,0.13948,0.86456,0.95292,0.93188,0.97247,0.97215,0.08392,0.34103,0.31793,0.0005842,0.0005842,0.0005842
44,4121.14,0.04141,0.13968,0.86599,0.95701,0.92835,0.97259,0.97166,0.08482,0.34096,0.31825,0.0005743,0.0005743,0.0005743
45,4165.06,0.04137,0.13657,0.86542,0.95531,0.93048,0.97354,0.97243,0.08335,0.33998,0.31772,0.0005644,0.0005644,0.0005644
46,4208.88,0.04079,0.12658,0.86605,0.96216,0.92984,0.97353,0.97298,0.08332,0.32974,0.31698,0.0005545,0.0005545,0.0005545
47,4250.96,0.04028,0.12473,0.8654,0.95973,0.93091,0.97356,0.97319,0.08349,0.32445,0.31637,0.0005446,0.0005446,0.0005446
48,4293.73,0.0389,0.11773,0.86443,0.95885,0.93165,0.97339,0.9729,0.08505,0.336,0.31751,0.0005347,0.0005347,0.0005347
49,4337.04,0.03854,0.1208,0.86511,0.96027,0.93106,0.97347,0.97298,0.08665,0.33217,0.31828,0.0005248,0.0005248,0.0005248
50,4380.26,0.03829,0.11862,0.865,0.9591,0.93268,0.97367,0.97325,0.08635,0.33625,0.31818,0.0005149,0.0005149,0.0005149
51,4421.83,0.03786,0.11353,0.86181,0.95843,0.93408,0.9743,0.97397,0.08722,0.33501,0.31862,0.000505,0.000505,0.000505
52,4465.15,inf,0.1153,0.86341,0.95609,0.93512,0.97474,0.97451,0.08653,0.33473,0.3183,0.0004951,0.0004951,0.0004951
53,4506.95,0.03773,0.11302,0.86418,0.95564,0.93516,0.9756,0.97515,0.08488,0.32834,0.31749,0.0004852,0.0004852,0.0004852
54,4549.63,inf,0.10909,0.8652,0.95825,0.93259,0.97572,0.97553,0.08624,0.3276,0.31834,0.0004753,0.0004753,0.0004753
55,4592.16,0.03693,0.10329,0.86489,0.95689,0.93473,0.97592,0.9756,0.08567,0.32769,0.31834,0.0004654,0.0004654,0.0004654
56,4633.72,0.03626,0.10379,0.86514,0.95962,0.9306,0.97548,0.97509,0.08635,0.32813,0.3189,0.0004555,0.0004555,0.0004555
57,4674.78,0.03544,0.10103,0.86469,0.95931,0.93184,0.97546,0.9749,0.08818,0.32985,0.32007,0.0004456,0.0004456,0.0004456
58,4717.53,0.03463,0.09632,0.86418,0.95745,0.93463,0.97582,0.97537,0.08908,0.33182,0.32055,0.0004357,0.0004357,0.0004357
59,4761.31,0.03406,0.09691,0.86617,0.95656,0.93601,0.97566,0.97536,0.08978,0.33737,0.32089,0.0004258,0.0004258,0.0004258
60,4803.64,0.03436,0.09532,0.86495,0.95673,0.93558,0.97598,0.97561,0.09002,0.34297,0.32109,0.0004159,0.0004159,0.0004159
61,4845.86,inf,0.09784,0.86425,0.95895,0.93378,0.97542,0.97504,0.09141,0.34747,0.32203,0.000406,0.000406,0.000406
62,4886.96,0.03356,0.08851,0.86542,0.95955,0.93329,0.9757,0.97527,0.09203,0.3489,0.32238,0.0003961,0.0003961,0.0003961
63,4929.35,0.03374,0.09104,0.86515,0.96006,0.93364,0.97572,0.97531,0.09304,0.35038,0.32288,0.0003862,0.0003862,0.0003862
64,4971.4,0.03308,0.0929,0.86437,0.95915,0.93421,0.97578,0.97542,0.09386,0.35219,0.32327,0.0003763,0.0003763,0.0003763
65,5012.9,inf,0.09181,0.86347,0.95785,0.93575,0.97593,0.97549,0.09408,0.3543,0.32327,0.0003664,0.0003664,0.0003664
66,5054.71,0.03257,0.08587,0.86428,0.95738,0.93584,0.97615,0.9758,0.0948,0.35608,0.32362,0.0003565,0.0003565,0.0003565
67,5096.69,0.03162,0.0852,0.86582,0.95746,0.93549,0.97615,0.97576,0.09494,0.35651,0.32373,0.0003466,0.0003466,0.0003466
68,5139.03,inf,0.0847,0.86255,0.95694,0.93579,0.97621,0.9758,0.09451,0.35468,0.32346,0.0003367,0.0003367,0.0003367
69,5180.01,inf,0.07792,0.86319,0.95674,0.93572,0.97598,0.97561,0.09402,0.35464,0.32326,0.0003268,0.0003268,0.0003268
70,5222.45,0.03052,0.07899,0.86495,0.95607,0.93673,0.97579,0.97538,0.09337,0.3561,0.32294,0.0003169,0.0003169,0.0003169
71,5263.76,0.0304,0.07347,0.86378,0.95736,0.93556,0.97592,0.97545,0.09287,0.35546,0.32273,0.000307,0.000307,0.000307
72,5306.29,0.02933,0.07159,0.864,0.95769,0.93476,0.97562,0.9751,0.09188,0.35433,0.32226,0.0002971,0.0002971,0.0002971
73,5347.65,0.02961,0.07103,0.86401,0.95728,0.93462,0.97576,0.97522,0.09061,0.35331,0.32157,0.0002872,0.0002872,0.0002872
74,5387.92,0.02905,0.07303,0.8645,0.95678,0.93497,0.97563,0.97512,0.0902,0.35275,0.32133,0.0002773,0.0002773,0.0002773
75,5428.13,inf,0.07193,0.86361,0.95894,0.93284,0.97561,0.97514,0.09004,0.35262,0.32129,0.0002674,0.0002674,0.0002674
76,5470.19,inf,0.06904,0.86428,0.95697,0.93511,0.97591,0.97543,0.09008,0.35296,0.32127,0.0002575,0.0002575,0.0002575
77,5512.76,0.02827,0.06603,0.86338,0.9562,0.93579,0.97593,0.97543,0.0895,0.35384,0.32093,0.0002476,0.0002476,0.0002476
78,5554.9,inf,0.06648,0.86612,0.95611,0.93613,0.97604,0.97547,0.08943,0.35483,0.32094,0.0002377,0.0002377,0.0002377
